"DisplayName","ObjectType","RoleDefinitionName","Scope"
"ag-PR-AZW-Prod-advisor-contributor","Group","Centrica Advisor Triage Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ag-PR-AZW-Prod-emtvalrisk-Readonly","Group","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001"
"ag-PR-AZW-Prod-Reader","Group","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-mi-bigid-az-storage-read","ServicePrincipal","Storage Blob Data Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-mi-bigid-az-storage-read","ServicePrincipal","Storage File Data SMB Share Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-mi-bigid-az-storage-read","ServicePrincipal","Storage Table Data Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ag-PR-AZW-Prod-SQLSupport","Group","Centrica Managed SQL Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ag-PR-AZW-Prod-CentricaServiceContributor","Group","Centrica Service Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-uami-prod-shared-services-iam-github-oidc","ServicePrincipal","Cloud Engineering - Resource Provider Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"centrica-emt-Vault-99f4d63e-f528-428c-a810-441b61710597","ServicePrincipal","Centrica SP CE Role Admin","/subscriptions/99f4d63e-f528-428c-a810-441b61710597/resourceGroups/azsu-rg-prod-emt-valrisk-001"
"msg-resources-5af4","ServicePrincipal","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-auto-prod-rsv-trade-001","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"ags-AZ-S-Production-Reader","Group","Reader","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
,"Unknown","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azsu-auto-prod-rsv-proscient-001","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-auto-prod-rsv-enerv-001","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"azwu-rv-p-rhc-asr-automationaccount_kFBjXxVgsXSeknHVCpXWPMZIZu8jBr2l8T/22s9+ax4=","ServicePrincipal","Contributor","/subscriptions/99f4d63e-f528-428c-a810-441b61710597"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd8b91c0-12e8-4ca4-8981-8bf91ffb2453"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd8b91c0-12e8-4ca4-8981-8bf91ffb2453"
"networking-pipeline","ServicePrincipal","Cloud Engineering - Centrica Network Admin","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"Azure Sentinel CheckMK Integration","ServicePrincipal","Centrica Sentinel CheckMK Integration","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-aa-ceaprod-automatic-policy-remediation","ServicePrincipal","Cloud Engineering - Policy Remediation Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ce_sub_activity_logs","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ce_sub_activity_logs","ServicePrincipal","Cloud Engineering - Deployment Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"Service-Now-Discovery-ITOM","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-ceaprod-policy-remediation","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-fa-ceaprod-policy-compliance","ServicePrincipal","Cloud Engineering - Policy Insights Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azw-uami-ceaprod-teams-bot-pim-alerts-fa","ServicePrincipal","Cloud Engineering - Scheduled Requests Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azw-uami-ceaprod-teams-bot-new-sub-fa","ServicePrincipal","Management Group Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-active-directory-iam-github-oidc","ServicePrincipal","Cloud Engineering - Access Assignment Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-platform-resources-github-oidc","ServicePrincipal","Resource Policy Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-platform-resources-github-oidc","ServicePrincipal","Management Group Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-platform-iam-github-oidc","ServicePrincipal","Cloud Engineering - Access Assignment Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-subscriptions-iam-github-oidc","ServicePrincipal","Cloud Engineering - Access Assignment Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-subscriptions-resources-github-oidc","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-github-oidc","ServicePrincipal","Cloud Engineering - Centrica Network Admin","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-CE-ResourceProviderReader","Group","Cloud Engineering - Resource Provider Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-SecurityReader","Group","Security Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-CostManagementReader","Group","Cost Management Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-CarbonOptimizationReader","Group","Carbon Optimization Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-Reader","Group","Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-SupportRequestContributor","Group","Support Request Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-AZ-MG-CloudEngineering-MonitoringReader","Group","Monitoring Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-graf-guardrails","ServicePrincipal","Monitoring Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-ceaprod-bv-identity","ServicePrincipal","Storage Account Backup Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-subscriptions-resources-github-oidc","ServicePrincipal","Locks Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"azsu-uami-prod-azure-platform-resources-github-oidc","ServicePrincipal","Scheduled Patching Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ServiceNow-SGC-Azure-Prod","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"James Murray","User","Cloud Engineering - Role Assignment Contributor","/providers/Microsoft.Management/managementGroups/cd372da8-d2fb-4f50-a361-cc0518608443"
"ags-PIM-AZ-Global-SecurityAdmin","Group","Centrica Security Admin (Global)","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-SecurityAdmin","Group","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-SecurityAdmin","Group","Security Admin","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-SecurityReader","Group","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"0ef58aa942b14f96ab9f1aeb","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"0ef58aa942b14f96ab9f1aeb","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"MS-PIM","ServicePrincipal","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-CloudAdmin","Group","Owner","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"ags-PIM-AZ-Global-User-Admin","Group","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"c947ed74b25d48aebbaeca36","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"4a747ac101ee475f911689e2","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"aeee1f8015364388a9387ce9","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"AMA-Policy-Remediation","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Virtual Machine Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","Virtual Machine Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
,"Unknown","User Access Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"cloudengineering-mg-ado-identity","ServicePrincipal","Management Group Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"azsu-uami-azure-monitor","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"Qualys-Azure-Cloud-Connector","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"Qualys-Azure-Cloud-Connector","ServicePrincipal","Security Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"d694237f4d844256bdbc49d1","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"d694237f4d844256bdbc49d1","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"5065aad436c749fdade36b4a","ServicePrincipal","Monitoring Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"5065aad436c749fdade36b4a","ServicePrincipal","Log Analytics Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"9c722f2feac7430583a818f9","ServicePrincipal","Azure Connected Machine Resource Administrator","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"174ae69578b048fea6e0d45b","ServicePrincipal","Contributor","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
"msg-resources-5af4","ServicePrincipal","Reader","/providers/Microsoft.Management/managementGroups/a603898f-7de2-45ba-b67d-d35fb519b2cf"
